"","state","location","any_both_sexes_2010","any_females_2010","any_males_2010","binge_both_sexes_2010","binge_females_2010","binge_males_2010"
"1","Colorado","Pitkin County",79.2,75.5,82.9,25,17.2,33
"2","Colorado","Summit County",78.9,76.3,81.5,26.4,19.7,33.3
"3","Colorado","Routt County",78.6,75.7,81.6,24,17.2,31
"4","Virginia","Falls Church City",78.1,73.4,83,23.5,19.3,27.9
"5","Colorado","San Miguel County",77.2,72.5,82.1,27.4,19.3,35.7
"6","Wyoming","Teton County",75.6,72.2,79.1,22.1,13.1,31.3
"7","Wisconsin","Portage County",75.5,72.1,78.9,29.5,23.7,35.5
"8","Colorado","Hinsdale County",75.2,70.1,80.5,29.3,20.4,38.5
"9","Colorado","Ouray County",75,68.6,81.7,23.9,14.9,33.2
"10","Wisconsin","Ozaukee County",75,70.6,79.6,25.3,18.9,31.9
"11","Wisconsin","Waukesha County",74.5,68.5,80.8,25.2,17.8,32.8
"12","Colorado","Eagle County",74.3,68.4,80.4,22.6,12.9,32.7
"13","Wisconsin","Calumet County",74,68.9,79.4,25.9,19.9,32.1
"14","Colorado","Grand County",73.9,69,79,24.1,14.7,33.9
"15","Colorado","Gilpin County",73.6,67.9,79.5,22.4,15.4,29.7
"16","California","Marin County",73.2,70.1,76.4,20.8,15.7,26
"17","Colorado","Clear Creek County",73.2,68.1,78.5,23.6,17.7,29.8
"18","Colorado","Gunnison County",72.9,66.7,79.3,25,16.1,34.3
"19","Massachusetts","Nantucket County",72.7,68.8,76.8,23.8,17.4,30.3
"20","Washington","San Juan County",72.7,69.9,75.6,21.7,16.4,27.2
"21","Massachusetts","Barnstable County",72.6,69.5,75.8,22.1,16.1,28.3
"22","Rhode Island","Newport County",72.5,67.7,77.4,22.1,15.9,28.6
"23","Wisconsin","Dane County",72.5,66.9,78.3,23.8,17,30.9
"24","Rhode Island","Bristol County",72.4,66.5,78.5,22.2,14.1,30.7
"25","Wisconsin","La Crosse County",72.4,67.3,77.6,27.7,21.6,34
"26","Wisconsin","Brown County",72.3,67.7,77,26.7,20.8,32.9
"27","Wisconsin","Washington County",72.3,68.2,76.6,24.6,18.8,30.7
"28","Vermont","Chittenden County",72.1,66.5,77.8,20.4,14.6,26.4
"29","Nevada","Storey County",71.8,67.2,76.6,26.1,20.1,32.3
"30","Rhode Island","Washington County",71.8,67.4,76.4,20.7,14.8,26.9
"31","Wisconsin","Iron County",71.8,67.2,76.6,30.2,20.2,40.5
"32","Colorado","Park County",71.7,66.7,76.9,21,15,27.2
"33","Massachusetts","Dukes County",71.7,66.7,76.9,24,16.3,31.9
"34","New Hampshire","Rockingham County",71.7,67.4,76.1,21.3,14.1,28.7
"35","Wisconsin","Oneida County",71.6,70,73.3,29.1,21.6,37
"36","Wisconsin","Kewaunee County",71.5,66.3,76.9,28.8,21.8,36
"37","Colorado","Douglas County",71.4,67.8,75,15.8,11.4,20.4
"38","Illinois","Jo Daviess County",71.4,66.9,76,29,21.2,37
"39","Wisconsin","Outagamie County",71.4,67,76,26.3,20.8,32.1
"40","Wisconsin","St. Croix County",71.4,65.9,77.2,25.1,16.7,33.9
"41","Wisconsin","Douglas County",71.2,64.7,78,29.9,22.7,37.4
"42","New Jersey","Hunterdon County",71.1,67.2,75.2,19.6,14.2,25.1
"43","Wisconsin","Chippewa County",71.1,65.7,76.8,28,21.3,34.9
"44","Massachusetts","Norfolk County",70.9,66.6,75.3,20.7,15.5,26.1
"45","Colorado","La Plata County",70.8,65.4,76.3,22.2,15.6,29.1
"46","Iowa","Winneshiek County",70.8,63.3,78.6,29,18.8,39.5
"47","Minnesota","Carver County",70.8,66.8,75,22.5,16.7,28.6
"48","Vermont","Windsor County",70.8,64.7,77.1,20.7,12.9,28.9
"49","North Dakota","Bowman County",70.7,62.2,79.6,31.4,22.4,40.8
"50","Connecticut","Middlesex County",70.6,66.7,74.7,20,14.2,26.1
"51","Wisconsin","Pepin County",70.6,64.9,76.4,29.9,21.4,38.7
"52","Illinois","DuPage County",70.5,66.3,75,22.7,17.3,28.4
"53","Vermont","Washington County",70.5,66,75.1,20.1,13.2,27.3
"54","Iowa","Dubuque County",70.4,64,77.1,29.7,18.3,41.5
